Sr No.,Reference No  (URN),Journal Date,"Date ofPurchase",Date of Expiry,Name of the Purchaser,Prefix,Bond Number,Denominations,Issue Branch Code,Issue Teller,Status
1,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,TL,11448,"10,00,000",1,5899230,Paid
2,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,TL,11447,"10,00,000",1,5899230,Paid
3,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,TL,11441,"10,00,000",1,5899230,Paid
4,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1113,"1,00,000",1,5899230,Paid
5,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1118,"1,00,000",1,5899230,Paid
6,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1112,"1,00,000",1,5899230,Paid
7,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1115,"1,00,000",1,5899230,Paid
8,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1119,"1,00,000",1,5899230,Paid
9,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1110,"1,00,000",1,5899230,Paid
10,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1111,"1,00,000",1,5899230,Paid
11,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1106,"1,00,000",1,5899230,Paid
12,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1114,"1,00,000",1,5899230,Paid
13,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,A B C INDIA LIMITED,OL,1117,"1,00,000",1,5899230,Paid
14,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,TL,11556,"10,00,000",1,5899230,Paid
15,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,TL,11555,"10,00,000",1,5899230,Paid
16,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1125,"1,00,000",1,5899230,Paid
17,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1129,"1,00,000",1,5899230,Paid
18,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1124,"1,00,000",1,5899230,Paid
19,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1128,"1,00,000",1,5899230,Paid
20,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ACROPOLIS MAINTENANCE SERVICES PRIVATE LIMITED,OL,1126,"1,00,000",1,5899230,Paid
21,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ARIHANT ENTERPRISES,TL,11551,"10,00,000",1,5899230,Paid
22,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ARIHANT ENTERPRISES,TL,11554,"10,00,000",1,5899230,Paid
23,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ARIHANT ENTERPRISES,TL,11553,"10,00,000",1,5899230,Paid
24,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ARIHANT ENTERPRISES,TL,11552,"10,00,000",1,5899230,Paid
25,3.00202E+20,12-Apr-19,12-Apr-19,26-Apr-19,CHOUDHARY GARMENTS,TL,12904,"10,00,000",300,4180496,Paid
26,3.00202E+20,12-Apr-19,12-Apr-19,26-Apr-19,CHOUDHARY GARMENTS,TL,12902,"10,00,000",300,4180496,Paid
27,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6297,"1,00,00,000",1,5899230,Paid
28,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6275,"1,00,00,000",1,5899230,Paid
29,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6261,"1,00,00,000",1,5899230,Paid
30,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6278,"1,00,00,000",1,5899230,Paid
31,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6262,"1,00,00,000",1,5899230,Paid
32,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6274,"1,00,00,000",1,5899230,Paid
33,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6257,"1,00,00,000",1,5899230,Paid
34,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6273,"1,00,00,000",1,5899230,Paid
35,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6272,"1,00,00,000",1,5899230,Paid
36,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6280,"1,00,00,000",1,5899230,Paid
37,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6251,"1,00,00,000",1,5899230,Paid
38,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,4597,"1,00,00,000",1,5899230,Paid
39,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6279,"1,00,00,000",1,5899230,Paid
40,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6296,"1,00,00,000",1,5899230,Paid
41,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6256,"1,00,00,000",1,5899230,Paid
42,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6286,"1,00,00,000",1,5899230,Paid
43,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6298,"1,00,00,000",1,5899230,Paid
44,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6267,"1,00,00,000",1,5899230,Paid
45,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,4632,"1,00,00,000",1,5899230,Paid
46,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6284,"1,00,00,000",1,5899230,Paid
47,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6254,"1,00,00,000",1,5899230,Paid
48,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6292,"1,00,00,000",1,5899230,Paid
49,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6268,"1,00,00,000",1,5899230,Paid
50,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6258,"1,00,00,000",1,5899230,Paid
51,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6253,"1,00,00,000",1,5899230,Paid
52,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6293,"1,00,00,000",1,5899230,Paid
53,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6281,"1,00,00,000",1,5899230,Paid
54,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6264,"1,00,00,000",1,5899230,Paid
55,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6288,"1,00,00,000",1,5899230,Paid
56,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6300,"1,00,00,000",1,5899230,Paid
57,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6269,"1,00,00,000",1,5899230,Paid
58,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,4598,"1,00,00,000",1,5899230,Paid
59,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6263,"1,00,00,000",1,5899230,Paid
60,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6270,"1,00,00,000",1,5899230,Paid
61,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6283,"1,00,00,000",1,5899230,Paid
62,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6299,"1,00,00,000",1,5899230,Paid
63,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6271,"1,00,00,000",1,5899230,Paid
64,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6252,"1,00,00,000",1,5899230,Paid
65,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6282,"1,00,00,000",1,5899230,Paid
66,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6259,"1,00,00,000",1,5899230,Paid
67,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6295,"1,00,00,000",1,5899230,Paid
68,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6260,"1,00,00,000",1,5899230,Paid
69,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6255,"1,00,00,000",1,5899230,Paid
70,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6265,"1,00,00,000",1,5899230,Paid
71,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6285,"1,00,00,000",1,5899230,Paid
72,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6289,"1,00,00,000",1,5899230,Paid
73,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6291,"1,00,00,000",1,5899230,Paid
74,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6294,"1,00,00,000",1,5899230,Paid
75,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,OC,6287,"1,00,00,000",1,5899230,Paid
76,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,TL,11440,"10,00,000",1,5899230,Paid
77,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,TL,11437,"10,00,000",1,5899230,Paid
78,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,TL,11439,"10,00,000",1,5899230,Paid
79,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,TL,11445,"10,00,000",1,5899230,Paid
80,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,TL,11438,"10,00,000",1,5899230,Paid
81,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,TL,11432,"10,00,000",1,5899230,Paid
82,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,TL,11444,"10,00,000",1,5899230,Paid
83,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,TL,11443,"10,00,000",1,5899230,Paid
84,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,TL,11446,"10,00,000",1,5899230,Paid
85,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,ESSEL MINING AND INDS LTD,TL,11442,"10,00,000",1,5899230,Paid
86,3.00202E+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7045,"1,00,00,000",300,4180496,Paid
87,3.00202E+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7041,"1,00,00,000",300,4180496,Paid
88,3.00202E+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7025,"1,00,00,000",300,4180496,Paid
89,3.00202E+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7051,"1,00,00,000",300,4180496,Paid
90,3.00202E+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7035,"1,00,00,000",300,4180496,Paid
91,3.00202E+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7059,"1,00,00,000",300,4180496,Paid
92,3.00202E+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7037,"1,00,00,000",300,4180496,Paid
93,3.00202E+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7033,"1,00,00,000",300,4180496,Paid
94,3.00202E+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7053,"1,00,00,000",300,4180496,Paid
95,3.00202E+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7061,"1,00,00,000",300,4180496,Paid
96,3.00202E+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7029,"1,00,00,000",300,4180496,Paid
97,3.00202E+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7049,"1,00,00,000",300,4180496,Paid
98,3.00202E+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7057,"1,00,00,000",300,4180496,Paid
99,3.00202E+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7043,"1,00,00,000",300,4180496,Paid
100,3.00202E+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7039,"1,00,00,000",300,4180496,Paid
101,3.00202E+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7047,"1,00,00,000",300,4180496,Paid
102,3.00202E+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7027,"1,00,00,000",300,4180496,Paid
103,3.00202E+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7055,"1,00,00,000",300,4180496,Paid
104,3.00202E+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7031,"1,00,00,000",300,4180496,Paid
105,3.00202E+20,12-Apr-19,12-Apr-19,26-Apr-19,GRASIM INDUSTRIES LTD,OC,7023,"1,00,00,000",300,4180496,Paid
106,5.09202E+20,12-Apr-19,12-Apr-19,26-Apr-19,HIGHSTREET CRUISES AND ENTERTAINMENT PVT  LTD,TL,3410,"10,00,000",509,7315678,Paid
107,5.09202E+20,12-Apr-19,12-Apr-19,26-Apr-19,HIGHSTREET CRUISES AND ENTERTAINMENT PVT  LTD,TL,3407,"10,00,000",509,7315678,Paid
108,5.09202E+20,12-Apr-19,12-Apr-19,26-Apr-19,HIGHSTREET CRUISES AND ENTERTAINMENT PVT  LTD,TL,3412,"10,00,000",509,7315678,Paid
109,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,INNOCENT MERCHANDISE PVT LTD,TL,11557,"10,00,000",1,5899230,Paid
110,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,INNOCENT MERCHANDISE PVT LTD,TL,11558,"10,00,000",1,5899230,Paid
111,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,INNOCENT MERCHANDISE PVT LTD,OL,1133,"1,00,000",1,5899230,Paid
112,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,INNOCENT MERCHANDISE PVT LTD,OL,1127,"1,00,000",1,5899230,Paid
113,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,INNOCENT MERCHANDISE PVT LTD,OL,1131,"1,00,000",1,5899230,Paid
114,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,INNOCENT MERCHANDISE PVT LTD,OL,1130,"1,00,000",1,5899230,Paid
115,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,INNOCENT MERCHANDISE PVT LTD,OL,1132,"1,00,000",1,5899230,Paid
116,7.82019E+19,12-Apr-19,12-Apr-19,26-Apr-19,KAMLANG SAW & VENEER MILLS PVT LTD,TL,2344,"10,00,000",78,7601204,Paid
117,7.82019E+19,12-Apr-19,12-Apr-19,26-Apr-19,KAMLANG SAW & VENEER MILLS PVT LTD,TL,2341,"10,00,000",78,7601204,Paid
118,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5485,"1,00,00,000",847,8424020,Paid
119,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5465,"1,00,00,000",847,8424020,Paid
120,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5497,"1,00,00,000",847,8424020,Paid
121,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5510,"1,00,00,000",847,8424020,Paid
122,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5484,"1,00,00,000",847,8424020,Paid
123,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5522,"1,00,00,000",847,8424020,Paid
124,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5490,"1,00,00,000",847,8424020,Paid
125,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5496,"1,00,00,000",847,8424020,Paid
126,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5456,"1,00,00,000",847,8424020,Paid
127,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5469,"1,00,00,000",847,8424020,Paid
128,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5495,"1,00,00,000",847,8424020,Paid
129,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5503,"1,00,00,000",847,8424020,Paid
130,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5486,"1,00,00,000",847,8424020,Paid
131,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5482,"1,00,00,000",847,8424020,Paid
132,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5502,"1,00,00,000",847,8424020,Paid
133,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5500,"1,00,00,000",847,8424020,Paid
134,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5483,"1,00,00,000",847,8424020,Paid
135,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5479,"1,00,00,000",847,8424020,Paid
136,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5473,"1,00,00,000",847,8424020,Paid
137,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5518,"1,00,00,000",847,8424020,Paid
138,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5476,"1,00,00,000",847,8424020,Paid
139,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5501,"1,00,00,000",847,8424020,Paid
140,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5489,"1,00,00,000",847,8424020,Paid
141,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5487,"1,00,00,000",847,8424020,Paid
142,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5499,"1,00,00,000",847,8424020,Paid
143,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5452,"1,00,00,000",847,8424020,Paid
144,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5480,"1,00,00,000",847,8424020,Paid
145,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5494,"1,00,00,000",847,8424020,Paid
146,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5516,"1,00,00,000",847,8424020,Paid
147,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5520,"1,00,00,000",847,8424020,Paid
148,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5506,"1,00,00,000",847,8424020,Paid
149,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5511,"1,00,00,000",847,8424020,Paid
150,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5507,"1,00,00,000",847,8424020,Paid
151,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5505,"1,00,00,000",847,8424020,Paid
152,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5512,"1,00,00,000",847,8424020,Paid
153,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5504,"1,00,00,000",847,8424020,Paid
154,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5508,"1,00,00,000",847,8424020,Paid
155,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5493,"1,00,00,000",847,8424020,Paid
156,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5514,"1,00,00,000",847,8424020,Paid
157,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5478,"1,00,00,000",847,8424020,Paid
158,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5498,"1,00,00,000",847,8424020,Paid
159,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5524,"1,00,00,000",847,8424020,Paid
160,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5488,"1,00,00,000",847,8424020,Paid
161,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5477,"1,00,00,000",847,8424020,Paid
162,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5492,"1,00,00,000",847,8424020,Paid
163,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5491,"1,00,00,000",847,8424020,Paid
164,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5513,"1,00,00,000",847,8424020,Paid
165,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5461,"1,00,00,000",847,8424020,Paid
166,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5509,"1,00,00,000",847,8424020,Paid
167,8.47202E+20,12-Apr-19,12-Apr-19,26-Apr-19,MEGHA ENGINEERING AND INFRASTRUCTURES LI MITED,OC,5481,"1,00,00,000",847,8424020,Paid
168,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,MERLIN RECREATION PVT LTD,TL,11450,"10,00,000",1,5899230,Paid
169,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,MERLIN RECREATION PVT LTD,TL,11449,"10,00,000",1,5899230,Paid
170,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,MERLIN RECREATION PVT LTD,OL,1121,"1,00,000",1,5899230,Paid
171,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,MERLIN RECREATION PVT LTD,OL,1120,"1,00,000",1,5899230,Paid
172,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,MERLIN RECREATION PVT LTD,OL,1123,"1,00,000",1,5899230,Paid
173,1.2019E+18,12-Apr-19,12-Apr-19,26-Apr-19,MERLIN RECREATION PVT LTD,OL,1116,"1,00,000",1,5899230,Paid
